"Ctry_code"|"reg_code"|"reg_tl3"|"reg_tl3_label"
"US"|"US18073"|"US032"|"Chicago-Naperville-Michigan City - Il-In-Wi"
"US"|"US18075"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18077"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US18079"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18081"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18083"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18085"|"US156"|"South Bend-Mishawaka - In-Mi"
"US"|"US18087"|"US156"|"South Bend-Mishawaka - In-Mi"
"US"|"US18089"|"US032"|"Chicago-Naperville-Michigan City - Il-In-Wi"
"US"|"US18091"|"US032"|"Chicago-Naperville-Michigan City - Il-In-Wi"
"US"|"US18093"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18095"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18097"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18099"|"US156"|"South Bend-Mishawaka - In-Mi"
"US"|"US18101"|"US054"|"Evansville - In-Ky"
"US"|"US18103"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18105"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18107"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18109"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18111"|"US032"|"Chicago-Naperville-Michigan City - Il-In-Wi"
"US"|"US18113"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18115"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US18117"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18119"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18121"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18123"|"US054"|"Evansville - In-Ky"
"US"|"US18125"|"US054"|"Evansville - In-Ky"
"US"|"US18127"|"US032"|"Chicago-Naperville-Michigan City - Il-In-Wi"
"US"|"US18129"|"US054"|"Evansville - In-Ky"
"US"|"US18131"|"US156"|"South Bend-Mishawaka - In-Mi"
"US"|"US18133"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18135"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18137"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US18139"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18141"|"US156"|"South Bend-Mishawaka - In-Mi"
"US"|"US18143"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US18145"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18147"|"US054"|"Evansville - In-Ky"
"US"|"US18149"|"US156"|"South Bend-Mishawaka - In-Mi"
"US"|"US18151"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18153"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18155"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US18157"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18159"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18161"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18163"|"US054"|"Evansville - In-Ky"
"US"|"US18165"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18167"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18169"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18171"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18173"|"US054"|"Evansville - In-Ky"
"US"|"US18175"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US18177"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18179"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18181"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18183"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US19001"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19003"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19005"|"US101"|"Madison-Baraboo - Wi"
"US"|"US19007"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19009"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19011"|"US027"|"Cedar Rapids - Ia"
"US"|"US19013"|"US175"|"Waterloo-Cedar Falls - Ia"
"US"|"US19015"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19017"|"US175"|"Waterloo-Cedar Falls - Ia"
